Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;El Salvador;SLV;..;38,06335831;39,80606842;41,68027878;..;..;..;..;51,07915878;52,26631927;54,83993149;57,17686081;60,69784164;64,14383698;67,83882904;67,62876129;67,4043808;67,32131195;66,12458038;66,70648193;68,14482181;69,74462177;70,83097815;72,24528601;71,38583491;70,72582538;68,29660956;66,1074424;66,93257137;64,84865372;65,18371913
School enrollment, secondary (% gross);SE.SEC.ENRR;Equatorial Guinea;GNQ;..;..;..;24,98218918;22,80224991;..;..;..;..;22,36046982;21,75351906;18,69938087;18,11887932;..;..;17,75947952;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Eritrea;ERI;..;..;..;24,26783943;25,56747055;27,76111984;28,96194077;32,2417984;..;40,18925858;45,2635498;45,81570816;46,53025818;47,33216858;47,40523911;51,60013962;53,11925888;50,1338501;51,39458084;51,8130188;51,56085968;51,8398819;52,70793152;51,34619141;50,66537857;46,17150116;..;44,91106033;46,17237854;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Estonia;EST;..;..;..;..;..;..;..;..;..;..;..;96,21543121;99,08287048;99,07743835;101,4452286;104,2218475;104,0280304;105,0911789;105,3950119;107,4255524;110,8886795;112,2874069;112,5360031;110,5217133;107,6858215;108,188797;111,596199;113,2497864;112,759697;112,2872009;112,5277023
School enrollment, secondary (% gross);SE.SEC.ENRR;Eswatini;SWZ;..;..;47,70111847;44,70795822;45,29330826;46,79227066;46,77521133;..;45,33530045;44,86027908;43,30387115;43,77725983;44,73820877;44,46905899;48,34600067;50,50278854;54,49879074;58,3698616;..;59,57096863;64,59770203;67,2353363;69,20192719;70,80808258;73,70523834;76,28727722;82,02393577;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Ethiopia;ETH;..;13,87069988;11,9716301;10,65190983;10,32775021;10,48402977;11,07069016;..;..;13,29576015;14,45131969;17,34301949;19,19392014;19,56677055;21,47705078;23,85487938;27,47756958;30,2513504;31,31093025;31,64901924;33,04785919;34,44689941;36,21934891;..;..;33,9114222;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Faroe Islands;FRO;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Fiji;FJI;..;75,36274719;79,44255829;..;..;..;..;..;76,72686768;76,08055878;75,65727997;74,71563721;76,08367157;77,76663208;80,56143188;..;79,78717041;79,28601074;79,27690125;79,33911896;..;83,93049622;82,1471405;..;88,18496869;87,83676982;89,18202295;..;92,08067599;91,87605885;91,54163361
School enrollment, secondary (% gross);SE.SEC.ENRR;Finland;FIN;..;..;..;..;..;..;..;..;..;..;..;128,1748657;129,4878387;132,2354126;110,7826691;111,3261032;110,2770386;109,0429001;108,2983017;107,7022934;108,6093903;109,2489319;109,962677;145,6534424;147,4133148;150,8192139;152,4714355;153,5837097;153,6514282;144,613205;143,1229095
School enrollment, secondary (% gross);SE.SEC.ENRR;France;FRA;..;..;..;..;..;..;..;..;..;..;..;104,5711136;103,1863403;102,7721024;102,2200165;106,7816772;106,9275208;106,6935272;106,4328384;106,2392273;106,424942;106,6106415;105,8135834;104,3766022;103,425827;103,3960419;103,3080978;103,7560806;103,7733307;104,0768967;104,5665665
School enrollment, secondary (% gross);SE.SEC.ENRR;French Polynesia;PYF;67,66153717;69,58204651;72,32266998;74,77266693;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Gabon;GAB;..;..;..;..;36,28139877;38,62969971;45,63800812;46,0411911;..;44,34645844;..;48,61751938;49,4348793;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70,26399664;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Gambia, The;GMB;15,00765991;15,44402027;15,79977989;18,06421089;18,28330994;20,55196953;20,09126091;..;..;..;..;..;..;..;..;..;..;..;45,29129028;46,21446991;45,53514099;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Georgia;GEO;..;97,0041275;91,40209961;80,87248993;79,51628113;77,14051819;77,94515991;78,70201111;..;81,54521179;83,44235992;86,53639984;89,99198914;94,03491211;90,69139099;95,79354095;98,63510132;107,9337769;110,878418;106,6533279;..;..;..;107,0388323;105,7570889;106,7641555;107,7799018;109,5232037;111,616827;111,9008539;108,0669948
School enrollment, secondary (% gross);SE.SEC.ENRR;Germany;DEU;..;..;..;..;..;..;..;..;..;..;..;99,55480194;100,8536072;101,2267838;101,3777771;101,4364929;102,4863968;102,0097733;103,2407303;103,3142929;104,8913574;105,3465118;104,4422379;103,9353333;103,3038712;102,1924133;100,8523102;101,0956421;100,8373032;101,1525574;101,3078003
School enrollment, secondary (% gross);SE.SEC.ENRR;Ghana;GHA;33,99819183;..;..;..;..;33,25682831;..;..;..;32,4872818;32,57759094;30,94338989;32,26757813;33,65478897;36,14455032;38,12768936;39,8474884;43,75952148;46,05958176;47,92771912;..;55,60692978;56,73260178;68,19914246;63,97456998;67,04865665;67,26441013;66,63594502;68,2222558;71,1877006;74,01021863
School enrollment, secondary (% gross);SE.SEC.ENRR;Gibraltar;GIB;..;..;..;..;..;..;..;..;..;97,64790344;106,0562363;111,2706375;..;..;..;..;..;..;111,7490005;109,7350998;..;..;..;..;..;..;132,3251418;132,4550898;..;100,9831467;100,5002289
